Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
4.40 L/100 km,,17.67 km/L
23.06 MPG (AS),13.16 km/L,not-available
13.80 L/100km,27.69 mpg Imp.,19.31 MPG (AS)
1.76 L/10km,9.70 L/100km,7.12 km/L
4.90 L/100km,11.49 km per L,35.58 MPG (AS)
1.59 L/10km,11.36 km/L,12.71 L/100km
23.76 MPG (AS),,8.96 liters per 100 km
17.04 MPG (AS),20.28 MPG (AS),12.81 L/100km
0.95 L/10km,30.16 MPG (AS),8.73 liters per 100 km
4.20 L/100 km,11.90 km per L,46.38 mpg Imp.
5.08 km per L,14.70 L/100km,13.48 MPG (AS)
1.14 L/10km,12.99 km/L,9.73 liters per 100 km
21.78 MPG (AS),9.50 liters per 100 km,10.21 L/100 km
12.50 liters per 100 km,0.95 L/10km,21.10 MPG (AS)
17.20 liters per 100 km,12.50 L/100km,6.63 km per L
17.20 liters per 100 km,19.28 MPG (AS),6.69 km per L
8.62 km per L,24.76 MPG (AS),10.65 liters per 100 km
7.50 L/100 km,7.40 liters per 100 km,13.41 km per L
23.06 MPG (AS),0.87 L/10km,10.50 km/L
9.52 km per L,29.40 MPG (AS),30.13 mpg Imp.
6.50 liters per 100 km,0.50 L/10km,17.17 km/L
zero,38.70 mpg Imp.,0.77 L/10km
5.88 km per L,1.16 L/10km,14.57 L/100 km
10.20 km per L,6.80 L/100 km,11.83 km/L
26.90 mpg Imp.,8.00 liters per 100 km,9.38 liters per 100 km
17.80 L/100 km,12.00 L/100 km,15.19 L/100 km
14.70 L/100km,0.95 L/10km,1.24 L/10km
21.38 MPG (AS),10.00 km/L,10.55 liters per 100 km
16.80 L/100 km,10.00 km per L,17.12 MPG (AS)
not-available,10.10 km per L,1.16 L/10km
14.90 liters per 100 km,18.50 L/100km,14.24 MPG (AS)
30.70 mpg Imp.,7.10 liters per 100 km,0.83 L/10km
11.40 L/100km,8.00 liters per 100 km,23.83 MPG (AS)
16.45 MPG (AS),24.56 mpg Imp.,21.66 mpg Imp.
5.26 km/L,10.60 liters per 100 km,6.57 km/L
5.71 km per L,9.01 km per L,1.46 L/10km
20.82 MPG (AS),,11.16 km/L
10.99 km/L,12.82 km per L,33.17 mpg Imp.
11.30 L/100 km,7.00 L/100 km,0.94 L/10km
1.79 L/10km,17.10 L/100 km,5.70 km/L
25.57 MPG (AS),7.30 L/100km,11.98 km per L
8.70 km/L,10.00 km per L,9.24 km per L
17.86 km per L,6.20 L/100 km,48.12 mpg Imp.
10.20 L/100km,6.20 L/100 km,28.00 MPG (AS)
23.76 MPG (AS),25.85 MPG (AS),10.48 km/L
15.00 L/100km,10.50 liters per 100 km,7.71 km/L
,9.80 km/L,10.70 L/100km
10.10 km/L,42.80 mpg Imp.,11.88 km per L
12.35 km/L,7.60 liters per 100 km,12.70 km/L
1.13 L/10km,9.40 liters per 100 km,9.57 km/L
29.40 MPG (AS),0.66 L/10km,38.33 mpg Imp.
26.65 mpg Imp.,8.90 L/100 km,28.72 mpg Imp.
9.30 L/100km,28.34 MPG (AS),8.85 L/100km
15.79 MPG (AS),8.60 liters per 100 km,12.06 L/100km
7.58 km/L,10.00 liters per 100 km,8.50 km/L
9.00 L/100 km,33.60 MPG (AS),12.35 km per L
,14.29 km per L,8.65 L/100km
not-available,8.10 liters per 100 km,0.91 L/10km
8.20 km/L,13.16 km per L,23.22 MPG (AS)
14.50 L/100km,11.36 km per L,8.38 km/L
10.30 L/100km,14.29 km per L,0.88 L/10km
10.10 liters per 100 km,13.33 km/L,8.93 L/100km
not-available,24.00 MPG (AS),20.05 mpg Imp.
19.44 MPG (AS),10.75 km per L,1.08 L/10km
8.55 km/L,8.70 L/100km,9.66 km per L
7.04 km per L,zero,11.59 L/100 km
1.18 L/10km,12.35 km per L,10.13 L/100 km
9.80 liters per 100 km,0.67 L/10km,
17.20 L/100 km,13.60 L/100 km,15.10 MPG (AS)
13.44 MPG (AS),9.01 km per L,14.62 liters per 100 km
0.90 L/10km,38.56 MPG (AS),7.70 liters per 100 km
5.75 km/L,15.18 MPG (AS),
25.22 mpg Imp.,33.23 mpg Imp.,9.98 L/100km
11.80 L/100 km,7.40 liters per 100 km,0.98 L/10km
26.43 MPG (AS),7.70 liters per 100 km,33.79 mpg Imp.
23.29 MPG (AS),7.80 liters per 100 km,0.91 L/10km
7.25 km/L,8.62 km/L,12.81 L/100 km
,8.70 L/100 km,10.29 liters per 100 km
11.30 L/100 km,12.99 km per L,9.68 L/100km
4.61 km/L,20.10 MPG (AS),17.20 L/100km
13.89 km/L,0.77 L/10km,13.47 km/L
,1.24 L/10km,16.52 L/100km
17.00 L/100 km,23.54 mpg Imp.,1.48 L/10km
23.15 mpg Imp.,30.16 MPG (AS),10.22 liters per 100 km
1.32 L/10km,0.96 L/10km,20.31 MPG (AS)
22.97 mpg Imp.,10.64 km/L,10.99 L/100 km
10.50 L/100 km,7.80 L/100 km,30.42 mpg Imp.
4.74 km/L,19.93 MPG (AS),16.70 mpg Imp.
19.44 MPG (AS),0.80 L/10km,1.03 L/10km
9.52 km per L,12.20 km/L,9.46 L/100 km
8.00 liters per 100 km,13.51 km per L,36.54 mpg Imp.
8.47 km/L,7.80 L/100km,10.00 L/100 km
35.31 mpg Imp.,19.61 km/L,14.94 km per L
10.20 L/100 km,7.20 liters per 100 km,8.85 liters per 100 km
8.40 km per L,7.80 L/100km,9.95 km per L
10.87 km per L,34.87 mpg Imp.,8.71 L/100km
11.00 liters per 100 km,7.80 L/100 km,10.46 km/L
27.35 MPG (AS),6.50 L/100 km,
8.93 km/L,8.00 L/100km,10.25 km per L
2.32 L/10km,11.80 L/100km,18.07 liters per 100 km
23.74 mpg Imp.,8.20 liters per 100 km,9.77 km per L
,10.10 km/L,12.87 liters per 100 km
17.70 liters per 100 km,13.10 L/100 km,18.07 mpg Imp.
14.00 liters per 100 km,0.94 L/10km,19.72 MPG (AS)
1.50 L/10km,,11.58 L/100 km
10.60 liters per 100 km,34.87 mpg Imp.,9.47 liters per 100 km
27.43 mpg Imp.,12.35 km per L,9.31 L/100km
11.40 liters per 100 km,7.80 L/100km,9.78 liters per 100 km
26.20 L/100km,9.35 km per L,19.23 L/100km
10.20 liters per 100 km,8.80 L/100 km,9.57 L/100km
10.20 km/L,24.76 MPG (AS),9.66 liters per 100 km
20.70 liters per 100 km,21.24 mpg Imp.,17.37 liters per 100 km
9.40 liters per 100 km,13.33 km/L,0.85 L/10km
9.09 km per L,12.35 km per L,0.97 L/10km
40.94 mpg Imp.,14.29 km/L,6.95 L/100 km
25.29 MPG (AS),7.60 liters per 100 km,8.54 L/100 km
6.17 km/L,9.40 liters per 100 km,7.61 km per L
11.24 km/L,12.35 km per L,27.54 MPG (AS)
17.04 MPG (AS),34.87 mpg Imp.,25.14 mpg Imp.
12.60 liters per 100 km,8.10 L/100 km,26.71 mpg Imp.
6.71 km/L,1.15 L/10km,1.34 L/10km
11.70 L/100km,13.16 km/L,10.15 km/L
21.20 L/100km,1.24 L/10km,1.72 L/10km
29.73 mpg Imp.,8.30 L/100 km,11.16 km per L
12.00 L/100km,7.80 liters per 100 km,10.11 L/100km
18.70 L/100km,11.50 liters per 100 km,1.55 L/10km
28.25 mpg Imp.,10.10 liters per 100 km,9.96 km per L
23.81 km per L,37.94 MPG (AS),19.61 km per L
20.32 mpg Imp.,9.30 liters per 100 km,11.83 liters per 100 km
20.18 mpg Imp.,14.20 L/100 km,20.05 mpg Imp.
5.81 km per L,1.83 L/10km,17.70 L/100km
19.50 liters per 100 km,8.47 km per L,16.04 liters per 100 km
17.20 L/100km,7.46 km/L,
14.80 L/100 km,1.02 L/10km,12.73 liters per 100 km
9.60 L/100 km,,0.92 L/10km
25.45 mpg Imp.,34.59 MPG (AS),9.16 L/100km
19.77 MPG (AS),8.30 L/100km,10.28 L/100km
12.90 L/100 km,26.14 MPG (AS),8.97 km/L
17.20 L/100 km,6.58 km per L,16.30 L/100km
21.24 mpg Imp.,11.90 km per L,
1.02 L/10km,36.69 mpg Imp.,9.07 L/100km
6.41 km/L,9.40 L/100km,7.81 km/L
12.20 L/100 km,7.20 liters per 100 km,10.05 km per L
12.66 km/L,13.16 km per L,7.76 L/100km
8.70 L/100km,37.66 mpg Imp.,
21.73 mpg Imp.,29.77 MPG (AS),9.34 km per L
14.43 MPG (AS),11.10 L/100 km,1.40 L/10km
12.80 L/100km,11.90 km/L,9.24 km per L
29.77 MPG (AS),not-available,7.54 L/100 km
7.46 km/L,0.79 L/10km,25.86 mpg Imp.
,6.50 L/100 km,10.29 L/100km
25.22 mpg Imp.,30.95 MPG (AS),10.44 km/L
1.53 L/10km,10.80 L/100km,13.28 L/100 km
11.80 liters per 100 km,30.16 MPG (AS),10.00 L/100km
6.45 km/L,7.52 km/L,6.89 km/L
21.00 MPG (AS),0.86 L/10km,10.03 liters per 100 km
24.25 MPG (AS),0.71 L/10km,8.53 L/100km
10.42 km per L,8.00 L/100km,11.26 km/L
13.20 L/100 km,0.89 L/10km,11.27 liters per 100 km
18.34 mpg Imp.,24.25 MPG (AS),18.33 MPG (AS)
,1.27 L/10km,13.53 liters per 100 km
8.06 km/L,1.06 L/10km,24.37 mpg Imp.
16.52 mpg Imp.,0.94 L/10km,13.63 liters per 100 km
12.30 liters per 100 km,1.02 L/10km,20.71 MPG (AS)
22.19 MPG (AS),,0.97 L/10km
18.40 liters per 100 km,8.13 km/L,6.39 km per L
48.70 mpg Imp.,14.49 km/L,15.89 km per L
16.11 MPG (AS),1.03 L/10km,12.66 liters per 100 km
6.67 km/L,9.01 km per L,13.24 liters per 100 km
15.70 liters per 100 km,28.00 MPG (AS),8.05 km/L
,,24.17 mpg Imp.
13.80 L/100km,9.20 liters per 100 km,8.53 km per L
18.97 MPG (AS),35.31 mpg Imp.,10.42 L/100km
26.16 mpg Imp.,11.60 liters per 100 km,
9.20 L/100km,6.20 L/100km,0.79 L/10km
16.05 mpg Imp.,11.20 liters per 100 km,14.72 liters per 100 km
10.53 km per L,6.40 liters per 100 km,8.11 L/100km
21.19 MPG (AS),37.17 mpg Imp.,9.53 L/100 km
17.30 L/100 km,12.40 L/100 km,6.62 km/L
9.70 L/100km,7.40 L/100km,11.54 km/L
11.88 MPG (AS),6.76 km/L,1.76 L/10km
11.80 L/100 km,31.74 mpg Imp.,9.53 km/L
9.50 L/100 km,37.66 mpg Imp.,8.60 L/100 km
8.90 L/100km,6.50 L/100km,
25.22 mpg Imp.,32.47 mpg Imp.,10.07 liters per 100 km
29.12 mpg Imp.,7.40 liters per 100 km,27.15 MPG (AS)
6.30 liters per 100 km,15.38 km per L,15.65 km per L
11.10 L/100km,8.20 L/100 km,10.21 km/L
9.10 L/100km,28.68 MPG (AS),11.50 km/L
10.50 L/100km,0.65 L/10km,8.70 liters per 100 km
6.06 km per L,10.99 km per L,7.59 km/L
7.70 L/100 km,12.20 km per L,7.92 liters per 100 km
13.52 MPG (AS),21.00 MPG (AS),6.84 km/L
4.78 km per L,9.90 liters per 100 km,15.95 liters per 100 km
10.30 L/100km,11.76 km per L,10.54 km per L
17.55 MPG (AS),8.60 L/100km,8.90 km per L
7.30 km/L,11.00 L/100km,12.48 L/100km
23.81 km/L,28.68 MPG (AS),16.67 km/L
10.00 L/100 km,6.40 liters per 100 km,8.38 liters per 100 km
21.00 MPG (AS),not-available,10.35 L/100 km
10.50 L/100km,17.86 km/L,0.83 L/10km
27.43 mpg Imp.,6.80 L/100 km,0.87 L/10km
6.02 km/L,27.69 mpg Imp.,7.29 km per L
13.00 L/100 km,9.52 km/L,8.42 km/L
1.88 L/10km,,17.14 L/100km
4.93 km per L,7.25 km/L,16.26 mpg Imp.
10.00 L/100 km,7.80 liters per 100 km,0.90 L/10km
8.70 liters per 100 km,6.30 L/100km,7.62 liters per 100 km
15.69 mpg Imp.,16.20 liters per 100 km,17.19 L/100km
13.50 L/100 km,0.96 L/10km,11.74 L/100 km
12.92 MPG (AS),25.22 mpg Imp.,15.05 L/100 km
9.80 liters per 100 km,,11.47 km per L
6.76 km/L,32.47 mpg Imp.,8.30 km/L
1.46 L/10km,9.70 L/100 km,1.24 L/10km
10.20 L/100km,34.03 mpg Imp.,25.17 MPG (AS)
9.60 L/100km,30.55 MPG (AS),0.87 L/10km
5.46 km/L,30.70 mpg Imp.,14.21 L/100km
7.58 km/L,29.12 mpg Imp.,8.60 km per L
,25.57 MPG (AS),24.08 mpg Imp.
20.63 MPG (AS),8.70 L/100km,27.74 mpg Imp.
9.00 L/100km,15.62 km/L,12.77 km per L
7.52 km/L,11.63 km per L,8.94 km per L
21.70 L/100km,11.90 L/100km,1.73 L/10km
6.49 km/L,9.35 km/L,21.26 mpg Imp.
13.60 L/100 km,31.04 mpg Imp.,20.32 MPG (AS)
15.50 liters per 100 km,32.47 mpg Imp.,8.04 km per L
9.90 km/L,45.56 mpg Imp.,33.85 mpg Imp.
7.60 liters per 100 km,0.64 L/10km,
7.69 km/L,28.82 mpg Imp.,11.56 L/100km
21.90 mpg Imp.,35.11 MPG (AS),27.94 mpg Imp.
11.80 liters per 100 km,8.70 liters per 100 km,10.40 L/100km
11.30 L/100km,8.90 liters per 100 km,10.22 L/100 km
16.00 MPG (AS),9.40 liters per 100 km,19.10 MPG (AS)
10.42 km/L,29.40 MPG (AS),0.89 L/10km
8.20 L/100km,6.30 L/100 km,32.02 MPG (AS)
10.80 liters per 100 km,7.60 L/100 km,9.36 L/100km
27.97 mpg Imp.,13.89 km per L,8.79 L/100km
11.11 km per L,6.40 L/100km,36.08 mpg Imp.
17.90 L/100km,10.90 L/100km,14.75 L/100km
16.50 L/100 km,22.97 mpg Imp.,14.61 L/100 km
22.20 L/100km,5.68 km per L,11.68 MPG (AS)
29.43 mpg Imp.,13.89 km/L,11.74 km per L
0.98 L/10km,0.59 L/10km,12.43 km per L
16.71 mpg Imp.,25.45 mpg Imp.,7.00 km per L
13.50 L/100 km,32.22 MPG (AS),10.71 L/100 km
20.10 MPG (AS),7.20 liters per 100 km,10.34 km/L
1.28 L/10km,30.16 MPG (AS),22.30 MPG (AS)
11.80 liters per 100 km,9.10 L/100 km,10.59 liters per 100 km
1.69 L/10km,20.47 mpg Imp.,15.17 MPG (AS)
1.44 L/10km,9.40 L/100km,19.36 MPG (AS)
1.04 L/10km,36.75 MPG (AS),11.63 km per L
15.30 L/100km,11.00 L/100 km,13.37 L/100 km
11.60 L/100km,35.76 mpg Imp.,
21.98 MPG (AS),8.20 liters per 100 km,9.57 L/100 km
13.16 km per L,14.93 km/L,13.90 km/L
8.85 km/L,14.49 km/L,10.73 km/L
19.62 mpg Imp.,0.78 L/10km,8.75 km/L
16.00 L/100km,21.40 mpg Imp.,6.78 km per L
12.60 L/100km,25.85 MPG (AS),9.07 km per L
13.20 L/100 km,9.60 liters per 100 km,20.31 MPG (AS)
10.20 L/100km,13.33 km per L,11.13 km/L
9.20 L/100km,0.79 L/10km,32.79 mpg Imp.
1.41 L/10km,8.55 km per L,7.68 km per L
8.70 km per L,7.70 L/100 km,28.85 mpg Imp.
10.35 mpg Imp.,16.81 mpg Imp.,22.57 L/100 km
10.90 liters per 100 km,,30.00 mpg Imp.
5.00 km per L,10.70 liters per 100 km,6.32 km per L
9.50 L/100km,0.77 L/10km,8.69 liters per 100 km
19.60 MPG (AS),12.40 liters per 100 km,8.21 km/L
17.70 liters per 100 km,27.69 mpg Imp.,1.43 L/10km
1.48 L/10km,11.90 L/100 km,not-available
8.80 L/100 km,not-available,
1.64 L/10km,25.68 mpg Imp.,7.16 km per L
0.76 L/10km,6.30 L/100 km,7.01 L/100km
29.12 mpg Imp.,11.11 km per L,0.94 L/10km
1.20 L/10km,11.40 liters per 100 km,11.73 liters per 100 km
8.70 L/100 km,zero,12.12 km/L
8.20 L/100 km,18.52 km per L,6.94 L/100km
5.78 km per L,22.84 MPG (AS),7.07 km per L
11.30 L/100 km,10.10 liters per 100 km,10.76 L/100km
21.58 MPG (AS),7.60 L/100 km,9.41 L/100km
9.09 km/L,7.90 liters per 100 km,0.96 L/10km
8.60 liters per 100 km,7.40 L/100km,12.41 km/L
1.69 L/10km,26.16 mpg Imp.,not-available
25.00 mpg Imp.,13.16 km/L,9.63 liters per 100 km
17.70 L/100 km,6.94 km/L,6.17 km/L
0.93 L/10km,7.80 L/100km,0.86 L/10km
20.03 mpg Imp.,7.70 L/100km,20.96 MPG (AS)
18.30 L/100km,23.06 MPG (AS),16.05 MPG (AS)
4.74 km/L,10.87 km per L,17.94 mpg Imp.
10.50 liters per 100 km,38.17 mpg Imp.,9.11 L/100km
14.93 km per L,36.75 MPG (AS),6.57 L/100 km
17.20 L/100km,1.44 L/10km,15.94 L/100km
1.32 L/10km,9.50 L/100 km,8.67 km per L
22.30 L/100 km,19.60 MPG (AS),17.66 L/100km
5.15 km/L,11.40 liters per 100 km,15.80 L/100km
9.40 liters per 100 km,7.40 L/100 km,11.76 km per L
17.00 L/100km,1.15 L/10km,14.53 liters per 100 km
9.71 km per L,13.16 km/L,11.01 km/L
8.40 liters per 100 km,8.10 L/100 km,8.27 liters per 100 km
9.60 liters per 100 km,0.74 L/10km,27.32 MPG (AS)
5.81 km/L,10.40 L/100km,14.14 L/100km
23.74 mpg Imp.,9.52 km/L,11.27 L/100 km
6.37 km per L,8.85 km per L,13.72 L/100km
9.90 km/L,28.34 MPG (AS),25.32 MPG (AS)
7.75 km/L,7.40 L/100 km,10.43 liters per 100 km
13.20 liters per 100 km,31.74 mpg Imp.,20.88 MPG (AS)
5.99 km/L,9.35 km/L,1.40 L/10km
5.70 liters per 100 km,10.80 liters per 100 km,8.00 L/100km
18.30 liters per 100 km,7.87 km per L,6.34 km/L
18.67 MPG (AS),8.60 liters per 100 km,1.08 L/10km
19.50 liters per 100 km,7.30 km/L,5.92 km/L
11.50 liters per 100 km,31.74 mpg Imp.,9.68 km/L
10.50 liters per 100 km,35.76 mpg Imp.,9.33 L/100km
,12.80 L/100 km,15.99 L/100km
12.99 km/L,7.70 liters per 100 km,12.99 km/L
21.98 MPG (AS),8.50 L/100 km,9.71 L/100 km
13.33 km/L,16.95 km/L,6.78 liters per 100 km
,11.49 km/L,21.26 MPG (AS)
18.20 L/100km,10.10 km per L,14.46 L/100 km
8.85 km per L,8.50 L/100 km,10.04 L/100km
13.32 mpg Imp.,22.19 MPG (AS),
25.02 MPG (AS),34.09 MPG (AS),12.08 km/L
1.95 L/10km,10.50 L/100km,15.45 L/100 km
1.71 L/10km,9.09 km per L,1.44 L/10km
11.20 L/100km,0.77 L/10km,9.62 L/100km
16.50 L/100km,8.70 km per L,14.25 L/100 km
19.00 liters per 100 km,9.17 km/L,15.36 L/100km
5.18 km/L,15.30 liters per 100 km,5.71 km per L
8.40 L/100km,,29.76 MPG (AS)
12.50 L/100km,11.36 km/L,1.08 L/10km
17.70 L/100 km,1.19 L/10km,6.63 km per L
13.30 L/100km,8.80 liters per 100 km,11.28 liters per 100 km
7.69 km/L,24.76 MPG (AS),8.75 km per L
22.19 MPG (AS),7.00 L/100km,31.46 mpg Imp.
13.60 L/100km,9.30 L/100 km,11.66 L/100km
12.30 L/100 km,10.20 km/L,11.18 L/100km
19.44 MPG (AS),25.57 MPG (AS),10.79 L/100km
19.22 mpg Imp.,29.04 MPG (AS),1.17 L/10km
7.25 km/L,27.04 MPG (AS),24.55 mpg Imp.
21.24 mpg Imp.,9.10 L/100 km,1.14 L/10km
10.31 km per L,6.70 liters per 100 km,11.98 km per L
12.70 L/100 km,25.57 MPG (AS),11.12 L/100 km
6.90 km per L,9.70 L/100km,12.34 liters per 100 km
23.54 mpg Imp.,8.20 liters per 100 km,27.45 mpg Imp.
22.84 MPG (AS),9.80 liters per 100 km,
8.00 km/L,24.76 MPG (AS),11.15 L/100 km
1.11 L/10km,12.66 km per L,0.97 L/10km
0.92 L/10km,8.50 L/100km,11.25 km per L
31.04 mpg Imp.,6.30 L/100km,12.76 km/L
24.56 mpg Imp.,35.64 MPG (AS),10.76 km/L
0.72 L/10km,15.87 km/L,0.68 L/10km
9.17 km/L,8.20 liters per 100 km,10.33 km per L
6.80 km per L,10.75 km/L,12.27 L/100km
20.83 km per L,41.27 MPG (AS),19.21 km/L
11.80 L/100 km,14.08 km per L,0.97 L/10km
10.31 km/L,38.70 mpg Imp.,32.77 mpg Imp.
11.40 L/100km,29.04 MPG (AS),9.91 L/100km
1.05 L/10km,12.20 km per L,9.46 L/100km
8.93 km/L,9.71 km per L,10.79 L/100km
23.70 L/100 km,5.49 km/L,21.23 liters per 100 km
13.40 L/100 km,1.13 L/10km,8.03 km per L
11.36 km per L,34.59 MPG (AS),29.77 MPG (AS)
12.80 liters per 100 km,9.20 liters per 100 km,1.12 L/10km
14.98 MPG (AS),6.90 km/L,15.16 liters per 100 km
11.11 km per L,12.66 km per L,0.85 L/10km
,,10.26 liters per 100 km
1.12 L/10km,6.20 liters per 100 km,31.56 mpg Imp.
18.83 mpg Imp.,zero,7.96 km/L
21.50 L/100 km,10.42 km per L,1.61 L/10km
19.50 L/100 km,8.20 km/L,16.21 L/100 km
9.30 liters per 100 km,7.50 L/100km,8.49 L/100km
15.90 liters per 100 km,11.50 L/100km,16.90 MPG (AS)
10.64 km/L,13.70 km per L,27.82 MPG (AS)
8.70 L/100km,0.74 L/10km,12.32 km per L
6.94 km per L,27.97 mpg Imp.,22.66 mpg Imp.
27.67 MPG (AS),6.30 L/100 km,0.75 L/10km
16.80 liters per 100 km,9.09 km per L,19.91 mpg Imp.
9.71 km/L,0.78 L/10km,25.64 MPG (AS)
17.20 liters per 100 km,29.43 mpg Imp.,
7.70 L/100km,15.38 km/L,
28.53 mpg Imp.,24.76 MPG (AS),9.72 liters per 100 km
22.40 MPG (AS),7.70 L/100 km,zero
1.43 L/10km,8.77 km per L,12.99 L/100 km
8.70 km/L,28.00 MPG (AS),10.11 L/100 km
6.10 km/L,22.19 MPG (AS),7.25 km/L
10.10 L/100 km,,24.60 MPG (AS)
13.10 L/100 km,7.80 liters per 100 km,10.71 liters per 100 km
,7.40 liters per 100 km,30.84 mpg Imp.
0.46 L/10km,0.70 L/10km,5.68 L/100km
1.57 L/10km,9.35 km/L,13.45 L/100 km
16.56 MPG (AS),20.63 MPG (AS),7.73 km/L
4.12 km per L,,1.90 L/10km
3.76 km per L,9.43 km/L,19.40 L/100km
16.00 L/100 km,13.40 L/100 km,19.05 mpg Imp.
11.76 km/L,36.19 MPG (AS),30.95 MPG (AS)
8.00 km per L,9.40 L/100 km,11.11 L/100 km
9.80 liters per 100 km,14.49 km per L,0.85 L/10km
9.80 liters per 100 km,6.80 liters per 100 km,33.43 mpg Imp.
4.81 km/L,10.50 L/100 km,6.19 km/L
,,19.46 mpg Imp.
16.42 mpg Imp.,0.99 L/10km,16.90 MPG (AS)
10.70 L/100km,8.70 liters per 100 km,24.00 MPG (AS)
12.90 liters per 100 km,23.06 MPG (AS),not-available
10.60 L/100 km,0.72 L/10km,0.91 L/10km
15.60 L/100 km,38.70 mpg Imp.,19.82 MPG (AS)
16.00 L/100km,1.05 L/10km,13.53 liters per 100 km
9.00 L/100km,36.69 mpg Imp.,8.41 L/100km
0.94 L/10km,zero,0.86 L/10km
30.70 mpg Imp.,0.65 L/10km,35.38 mpg Imp.
7.75 km/L,11.24 km/L,25.45 mpg Imp.
15.08 MPG (AS),0.86 L/10km,18.89 MPG (AS)
5.88 km/L,9.90 L/100km,13.80 liters per 100 km
11.40 L/100km,zero,zero
16.80 L/100 km,13.30 L/100 km,15.22 L/100km
1.78 L/10km,16.00 L/100 km,16.63 mpg Imp.
10.99 km/L,8.70 L/100km,8.92 liters per 100 km
15.40 liters per 100 km,9.10 L/100 km,12.56 liters per 100 km
17.82 MPG (AS),22.19 MPG (AS),23.48 mpg Imp.
13.60 liters per 100 km,8.10 L/100 km,8.99 km per L
9.17 km per L,25.29 MPG (AS),23.11 MPG (AS)
5.49 km/L,,1.53 L/10km
23.52 MPG (AS),13.33 km per L,8.88 L/100km
12.50 L/100km,11.63 km per L,10.74 L/100km
6.29 km/L,,7.25 km per L
5.71 km per L,11.70 L/100km,1.49 L/10km
14.70 L/100km,10.80 L/100km,1.29 L/10km
11.90 km/L,30.95 MPG (AS),12.44 km per L
1.48 L/10km,5.32 km per L,6.02 km/L
9.01 km per L,8.77 km/L,11.23 liters per 100 km
29.12 mpg Imp.,0.72 L/10km,8.57 L/100km
8.13 km per L,38.17 mpg Imp.,23.30 MPG (AS)
12.10 L/100km,13.16 km/L,10.07 L/100 km
9.70 L/100km,6.60 L/100km,8.30 liters per 100 km
25.92 mpg Imp.,28.68 MPG (AS),24.29 MPG (AS)
14.08 km/L,7.70 L/100 km,31.92 MPG (AS)
8.40 L/100km,7.40 liters per 100 km,35.53 mpg Imp.
11.10 L/100 km,30.95 MPG (AS),24.69 MPG (AS)
5.40 liters per 100 km,6.00 liters per 100 km,0.57 L/10km
19.93 MPG (AS),6.30 liters per 100 km,25.22 MPG (AS)
,7.40 liters per 100 km,28.60 MPG (AS)
17.50 L/100 km,11.70 L/100 km,14.89 L/100 km
5.92 km per L,10.80 liters per 100 km,7.06 km per L
6.17 km per L,0.92 L/10km,7.66 km/L
10.10 km/L,7.50 L/100 km,8.82 L/100km
0.50 L/10km,27.04 MPG (AS),6.67 L/100 km
31.74 mpg Imp.,14.49 km per L,29.40 MPG (AS)
,7.40 liters per 100 km,0.81 L/10km
12.30 liters per 100 km,0.85 L/10km,10.59 liters per 100 km
11.70 L/100km,26.73 MPG (AS),9.62 km per L
14.61 MPG (AS),21.00 MPG (AS),7.20 km per L
16.14 mpg Imp.,10.00 L/100km,16.65 MPG (AS)
16.60 L/100km,11.80 L/100km,1.44 L/10km
16.42 mpg Imp.,28.25 mpg Imp.,7.16 km/L
7.50 L/100km,6.10 liters per 100 km,6.87 liters per 100 km
10.64 km/L,12.99 km/L,8.63 liters per 100 km
6.45 km/L,1.06 L/10km,17.69 MPG (AS)
5.59 km per L,1.28 L/10km,15.07 MPG (AS)
11.80 L/100km,7.90 L/100km,10.04 L/100 km
8.10 L/100 km,8.00 liters per 100 km,8.05 L/100 km
24.14 mpg Imp.,36.75 MPG (AS),
15.27 mpg Imp.,1.10 L/10km,
16.60 L/100 km,1.00 L/10km,1.36 L/10km
6.25 km/L,8.85 km/L,20.34 mpg Imp.
0.78 L/10km,0.89 L/10km,8.29 L/100 km
12.90 liters per 100 km,29.04 MPG (AS),10.74 L/100 km
22.62 MPG (AS),7.80 liters per 100 km,
,41.54 mpg Imp.,8.62 L/100 km
11.90 L/100 km,9.10 L/100km,10.64 liters per 100 km
12.00 L/100km,19.12 MPG (AS),12.13 L/100km
1.03 L/10km,not-available,9.98 L/100 km
10.53 km per L,15.15 km/L,0.82 L/10km
9.50 liters per 100 km,10.87 km per L,9.37 L/100km
16.00 L/100 km,10.90 L/100 km,20.61 mpg Imp.
10.90 L/100km,7.10 L/100 km,10.88 km/L
22.40 MPG (AS),13.70 km per L,9.06 liters per 100 km
24.00 MPG (AS),8.30 L/100km,30.96 mpg Imp.
9.20 liters per 100 km,11.20 L/100km,10.10 L/100km
12.40 L/100km,24.50 MPG (AS),1.11 L/10km
7.25 km per L,11.10 L/100 km,12.59 L/100km
4.20 L/100km,6.50 L/100km,53.96 mpg Imp.
8.00 L/100km,8.20 L/100km,0.81 L/10km
8.70 km/L,23.29 MPG (AS),25.99 mpg Imp.
22.24 mpg Imp.,8.70 L/100 km,10.90 liters per 100 km
11.50 L/100km,8.20 L/100km,9.99 km per L
2.07 L/10km,19.60 MPG (AS),16.79 liters per 100 km
1.82 L/10km,7.75 km/L,15.81 liters per 100 km
26.43 MPG (AS),7.90 L/100km,11.83 km/L
15.80 liters per 100 km,10.64 km per L,
5.95 km/L,9.62 km/L,7.18 km/L
